nombre, descripción,precio,imagen,cantidad_disponible,estado,id_subcategoria,id_marca
Old Prince Premium Adultos Pollo Y Carne X 20+3 Kg,"Old Prince Premium Adultos sabor Pollo y Carne de 20+3kg es un alimento balanceado para perros adultos",34400.00,/oldprince,3,publicado,1,4
Pro Plan Perro Adulto Mediano X 15 Kg + 3 Kg,"Pro Plan incorporó a su fórmula de alimentos balanceados la espirulina, componente que ayuda a proteger los sistemas inmune y digestivo de tu perro",19500.00,/proplan,6,publicado,1,2
Royal Canin Dachshund X 85 Gr,"Royal Canin Dachshund es un alimento húmedo con textura tipo paté para perros, a partir de los 10 meses de edad",1868.00,/royalcanninhum,4,publicado,2,3
Royal Canin Perro Veterinary Hipoalergénico X 10 Kg,"Royal Canin Hypoallergenic DR 21 es un alimento balanceado de prescripción para perros, destinado a reducir la intolerancia a ingredientes y nutrientes.",94975.00,/royalcanninmed,1,publicado,3,3
MON AMI STICK CHICKEN MEAT X 400 GR,Galletas secas con sabor a pollo,6224.00,/dogchickencookie,10,publicado,4,6
Snack Mon Ami Dental Clean X 400 Grs,Deliciosos snacks hecho de ingredientes de alta calidad. La higiene dental ayuda a prevenir enfermedades y mejora el aliento de tu mascota.,7098.00,/monamisnackdental,10,publicado,5,6
Hueso 20/21,Hueso para mascar.,25000.00,/hueso2021,8,publicado,6,1
Bozal Tipo Canasta De Alambre Para Rottweiler,"Bozal canasta de metal está acolchonado con cuero natural, desarrollado especialmente para perro tipo Rottweiler o de raza similar.",2500.00,/bozal1,2,publicado,7,8
Pretal Regulable L 4 Cm Kikadog,Pretal regulable fabricado con materiales de óptima calidad y diseñado exclusivamente para que se ajuste de la forma correcta al pecho de tu mascota.,25000.00,/pretal1,6,publicado,8,8
Chapita Identiificatoria Classic Big Red Pawprint,Chapitas identificatorias producidas en metal por microfusión con material analérgico.,25500.00,/chapitaroja,20,publicado,9,9
Juguete Frisbee Plástico Perro,Divertido juguete de frisbee en simpáticos colores.,2500.00,/frisbee1,10,publicado,10,9
Royal Canin Gato Fit 32 X 15 Kg,"Alimento para gatos adultos con peso ideal, actividad física moderada y que poseen acceso al exterior, de 1 a 7 años de edad.",136000.00,/royalcanin15kg,3,publicado,18,3
Pro Plan Gato Adulto X 15 Kg,Pro Plan Gato Adulto con Optiprebio contiene una combinación óptima de prebióticos y antioxidantes para optimizar la digestión y fortalecer las defensas de tu gato.,115000.00,/proplangato15kg,1,publicado,18,2
Pouch Whiskas Pollo En Salsa X 85 Grs Adulto,Whiskas Gato Sobrecito es alimento húmedo 100% completo y balanceado cocido al vapor.,650.00,/whiskahumedo85g,8,publicado,19,16
Royal Canin Gato Adulto Urinary High Dilution S/O X 7.5 Kg,Royal Canin Urinary High Dilution es un alimento dietético completo para gatos,81704.00,/royalcaninuri7kg,1,publicado,20,3
Hierba Gato Bandeja Listo P/Usar X 80 Grs,Incluyen la tierra y abonos naturales para acelerar el crecimiento y para que las plantas tengan todos los nutrientes necesarios.,5100,/hierbagatozootec,10,publicado,21,11
Juguete Para Gatos Raton Suave Con Cola Cancat,Juguete para gatos,1500, /jugueteconcatpgatos,8,publicado,22,7
Cookies Para Aves Sabor Vegetales X 200 Grs,Estas galletas de vegetales para aves son una excelente golosina que aporta grandes cantidades de vitaminas y minerales.,4400,/cookieavezootec,5,publicado,34,11
Alimento Peces Tetra Fin Goldfish Carassius Y Carpas 200 Gr,TETRA FIN Alimento para peces carassius y otros peces de agua fría como el goldfish y pequeñas carpas KOI.,27500,/alimentoTetraAgFria,3,publicado,38,17
Alimentos P/Peces Tropicales Tetra Color Granulos 300 Gr,Alimento para peces tropicales,45000,/alimentoTetraAgFria,3,publicado,38,17
Marina Deluxe Aq.Kit 38L,Acuario de 38 Litros de altisima calidad,150000.00,/marinakit38L,1,borrador,42,13
